Title,Link,Author_list
Virtual Special Issue on Catalysis at the U.S. Department of Energy’s National Laboratories,https://pubs.acs.org/doi/10.1021/acscatal.6b00823,"Marek Pruski,Aaron D. Sadow,Igor I. Slowing,Christopher L. Marshall,Peter Stair,Jose Rodriguez,Alex Harris,Gabor A. Somorjai,Juergen Biener,Christopher Matranga,Congjun Wang,Joshua A. Schaidle,Gregg T. Beckham,Daniel A. Ruddy,Todd Deutsch,Shaun M. Alia,Chaitanya Narula,Steve Overbury,Todd Toops,R. Morris Bullock,Charles H. F. Peden,Yong Wang,Mark D. Allendorf,Jens Nørskov,Thomas Bligaard"
Catalytic C–N Bond-Forming Reactions Enabled by Proton-Coupled Electron Transfer Activation of Amide N–H Bonds,https://pubs.acs.org/doi/10.1021/acscatal.6b00486,"Lucas Q. Nguyen,Robert R. Knowles"
Strategies for the Direct Catalytic Valorization of Methane Using Heterogeneous Catalysis: Challenges and Opportunities,https://pubs.acs.org/doi/10.1021/acscatal.6b00428,"Alma I. Olivos-Suarez,Àgnes Szécsényi,Emiel J. M. Hensen,Javier Ruiz-Martinez,Evgeny A. Pidko,Jorge Gascon"
Synthesis of Itaconic Acid Ester Analogues via Self-Aldol Condensation of Ethyl Pyruvate Catalyzed by Hafnium BEA Zeolites,https://pubs.acs.org/doi/10.1021/acscatal.6b00561,"Yuran Wang,Jennifer D. Lewis,Yuriy Román-Leshkov"
Cp*Co(III)-Catalyzed C(sp,https://pubs.acs.org/doi/10.1021/acscatal.6b00612,"Malay Sen,Balakumar Emayavaramban,Nagaraju Barsu,J. Richard Premkumar,Basker Sundararaju"
In Situ Electrochemically Activated ,https://pubs.acs.org/doi/10.1021/acscatal.6b00014,"Qun Li,Zhicai Xing,Dewen Wang,Xuping Sun,Xiurong Yang"
Resolving the Reaction Mechanism for H,https://pubs.acs.org/doi/10.1021/acscatal.6b00659,"Minghui Zhu,Israel E. Wachs"
Transformation of Streptonigrin to Streptonigrone: Flavin Reductase-Mediated Flavin-Catalyzed Concomitant Oxidative Decarboxylation of Picolinic Acid Derivatives,https://pubs.acs.org/doi/10.1021/acscatal.6b00154,"Jing Wo,Dekun Kong,Nelson L. Brock,Fei Xu,Xiufen Zhou,Zixin Deng,Shuangjun Lin"
Alkyl–Aryl Coupling Catalyzed by Tandem Systems of Pincer-Ligated Iridium Complexes and Zeolites,https://pubs.acs.org/doi/10.1021/acscatal.6b00149,"Long V. Dinh,Bo Li,Akshai Kumar,William Schinski,Kathleen D. Field,Alexander Kuperman,Fuat E. Celik,Alan S. Goldman"
Toward the Understanding of the Comonomer Effect on Cr,https://pubs.acs.org/doi/10.1021/acscatal.6b00147,"Caterina Barzan,Silvia Bordiga,Elena Groppo"
