,Title,Link,Author_list
0,Charting the Next Phase of ,https://pubs.acs.org/doi/10.1021/acscatal.1c01976,Cathleen M. Crudden
1,A Career in Catalysis: Graham J. Hutchings,https://pubs.acs.org/doi/10.1021/acscatal.1c00569,"Jonathan K. Bartley,Nikolaos Dimitratos,Jennifer K. Edwards,Christopher J. Kiely,Stuart H. Taylor"
2,A Career in Catalysis: Robert Schlögl,https://pubs.acs.org/doi/10.1021/acscatal.1c01165,"Xinhe Bao,Malte Behrens,Gerhard Ertl,Qiang Fu,Axel Knop-Gericke,Thomas Lunkenbein,Martin Muhler,Christoph M. Schmidt,Annette Trunschke"
3,Enzyme Electrochemistry for Industrial Energy Applications—A Perspective on Future Areas of Focus,https://pubs.acs.org/doi/10.1021/acscatal.1c00708,"John C. Ruth,Alfred M. Spormann"
4,The Critical Impacts of Ligands on Heterogeneous Nanocatalysis: A Review,https://pubs.acs.org/doi/10.1021/acscatal.1c00903,"Linfang Lu,Shihui Zou,Baizeng Fang"
5,"Ligand-Enabled, Iridium-Catalyzed ",https://pubs.acs.org/doi/10.1021/acscatal.1c01206,"Olena Kuleshova,Sobi Asako,Laurean Ilies"
6,Sequential Catalytic Functionalization of Aryltriazenyl Aldehydes for the Synthesis of Complex Benzenes,https://pubs.acs.org/doi/10.1021/acscatal.1c01722,"Sangwon Seo,Ming Gao,Eva Paffenholz,Michael C. Willis"
7,Effective Homogeneous Catalysis of Electrochemical Reduction of Nitrous Oxide to Dinitrogen at Rhenium Carbonyl Catalysts,https://pubs.acs.org/doi/10.1021/acscatal.1c01197,"Rana Deeba,Florian Molton,Sylvie Chardon-Noblat,Cyrille Costentin"
8,Enantio- and Diastereoselective Carbonyl-Ene Cyclization–Acetalization Tandem Reaction Catalyzed by Tris(pentafluorophenyl)borane-Assisted Chiral Phosphoric Acids,https://pubs.acs.org/doi/10.1021/acscatal.1c01242,"Hideyuki Ishihara,Jianhao Huang,Takuya Mochizuki,Manabu Hatano,Kazuaki Ishihara"
9,Heterogeneous Hydroxyl-Directed Hydrogenation: Control of Diastereoselectivity through Bimetallic Surface Composition,https://pubs.acs.org/doi/10.1021/acscatal.1c01434,"Alexander J. Shumski,William A. Swann,Nicole J. Escorcia,Christina W. Li"
10,Highly Atroposelective Rhodium(II)-Catalyzed N–H Bond Insertion: Access to Axially Chiral ,https://pubs.acs.org/doi/10.1021/acscatal.1c01232,"Qiao Ren,Tingting Cao,Chunnian He,Meihua Yang,Haitao Liu,Lei Wang"
11,Mechanism of Ir-Mediated Selective Pyridine ,https://pubs.acs.org/doi/10.1021/acscatal.1c00310,"Jiahao Liu,Yinwu Li,Jingxing Jiang,Yan Liu,Zhuofeng Ke"
12,Tuning Interfacial Electronic Properties of Palladium Oxide on Vacancy-Abundant Carbon Nitride for Low-Temperature Dehydrogenation,https://pubs.acs.org/doi/10.1021/acscatal.1c00712,"Hao Chen,Huili Shuang,Wenwen Lin,Xiaoxuan Li,Zihao Zhang,Jing Li,Jie Fu"
13,Bis(μ-oxo)–Dititanium(IV)–Chiral Binaphthyldisulfonate Complexes for Highly Enantioselective Intramolecular Hydroalkoxylation of Nonactivated Alkenes,https://pubs.acs.org/doi/10.1021/acscatal.1c01146,"Wen-Bin Xie,Zhi Li"
14,Non-Zero Binding Enhances Kinetics of Catalysis: Machine Learning Analysis on the Experimental Hydrogen Binding Energy of Platinum,https://pubs.acs.org/doi/10.1021/acscatal.1c01018,"Hideshi Ooka,Marie E. Wintzer,Ryuhei Nakamura"
15,A Bifunctional N-Heterocyclic Carbene as a Noncovalent Organocatalyst for Enantioselective Aza-Michael Addition Reactions,https://pubs.acs.org/doi/10.1021/acscatal.1c01908,"Fangfang Guo,Jiean Chen,Yong Huang"
16,Diastereoselective Decarboxylative Alkynylation of Anomeric Carboxylic Acids Using Cu/Photoredox Dual Catalysis,https://pubs.acs.org/doi/10.1021/acscatal.1c01600,"Mingxiang Zhu,Samir Messaoudi"
17,Engineering a Metathesis-Catalyzing Artificial Metalloenzyme Based on HaloTag,https://pubs.acs.org/doi/10.1021/acscatal.1c01470,"Sandro Fischer,Thomas R. Ward,Alexandria D. Liang"
